Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
21.0,Fundació Casal l'Amic,Domènec Domènech Roig,"CR Del Riu Llobregat, Bloc 4, Esc. 10, 1er. 2a.  -Camp Clar- 43006 Tarragona",932682222 - 977552834,sinergia@sinergia.org,,Ponent,No,Cooperació / interacció,D'integració i cohesió,41.1169933,1.2083872,4314820002,AJUNTAMENT DE TARRAGONA
191.0,AMNISTIA INTERNACIONAL,JOSEP M. FRANCISCO CASTILLO,"C/PONS D'ICART, S/N.H.ENT.LOC.5(A.CORREUS.256) 43002 TARRAGONA",629793279,tarragona@amnistiacatalunya.org,,,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.1134702,1.2531168,4314820002,AJUNTAMENT DE TARRAGONA
201.0,MANS UNIDES - TARRAGONA,Esther Freijanes Sangroniz,"Rambla Nova, núm. 119, Esc. B, 1er. 1a. 43001 Tarragona",977244078,tarragona@mansunides.org,CENTRE TARRAGONA,Centre,No,Cooperació / interacció,Cooperació i Drets Humans,41.1184707,1.2473023,4314820002,AJUNTAMENT DE TARRAGONA
268.0,FUNDACIÓ UNICEF-COMITÉ ESPAÑOL,DOLORS FONTANA MILÀ,"C/ PIN I SOLER,3, BAIXOS 43002 TARRAGONA",977229656,tarragona@unicef.es,,Eixample,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.1198538,1.2497613,4314820002,AJUNTAMENT DE TARRAGONA
288.0,ASS. GITANA DE TARRAGONA,Francesc Ferreres Ximenis,"BAIXADA PEIXATERIAS,19 BAIXOS 43003 TARRAGONA",695146297,info@gitanos.cat,PART ALTA,Centre,Sí,Cooperació / interacció,D'integració i cohesió,41.1164044,1.2572864,4314820002,AJUNTAMENT DE TARRAGONA
351.0,UNIÓ LATINOAMERICANA - CATALANA DE CULTURA,Roxana Méndez Sosa,"Cr. FORTUNY, 31, 3r 2a 43001 TARRAGONA",977224509,ulatina@hotmail.com,,,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.114127,1.2500364,4314820002,AJUNTAMENT DE TARRAGONA
392.0,ASSOCIACIÓ ENTREPOBLES,Jordi Rubió Sendra,"C/ Sant Francesc, núm. 14, 2n. 1a. 43003 Tarragona",690743407,administracio@entrepobles.org,,,No,Cooperació / interacció,Cooperació i Drets Humans,41.1162973,1.2534003,4314820002,AJUNTAMENT DE TARRAGONA
413.0,COMISSIÓ DIOCESANA DE MIGRACIÓ,,"PLAÇA PEIXATERIES VELLES,9 43003 TARRAGONA",977242337-877449866,caritas@caritastadtarragona.cat,,Centre,Sí,Cooperació / interacció,D'integració i cohesió,41.1180487,1.259069,4314820002,AJUNTAMENT DE TARRAGONA
414.0,Setem Catalunya (Delegació Tarragona),Laura Aguadé López,"BLOC SANT JORDI, BLOC 1, 4ART. 4A., 43007 tarragona",934432069,CATALUNYA@SETEM.ORG,,,No,Cooperació / interacció,Cooperació i Drets Humans,41.1355993,1.2536634,4314820002,AJUNTAMENT DE TARRAGONA
455.0,ASSOCIACIÓ AGERMANAMENT SENSE FRONTERES,Mª ASUNCIÓN CLÚA MONREAL,"CR DE PERE MARTELL,39, 5È 43005 TARRAGONA",646912757,suniclua@hotmail.com,CENTRE TARRAGONA,Eixample,No,Cooperació / interacció,Cooperació i Drets Humans,41.1143199,1.2432947,4314820002,AJUNTAMENT DE TARRAGONA
460.0,PROMOCIÓ I DESENVOLUPAMENT TERCER MON - PROIDE,JOSEP CIURANA MONCUSÍ,"CR DE MENDEZ NUÑEZ, 14 - 2N 43004 TARRAGONA",676026174 - 932377180,proidetarragona@fundacionproide.org,CENTRE TARRAGONA,Centre,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.1143148,1.2526665,4314820002,AJUNTAMENT DE TARRAGONA
467.0,ASSOCIACIÓ JOSEP VIDAL I LLECHA,JOSÉ LUIS BEUNZA VAZQUEZ,"RAMBLA NOVA, 120, 2N. 1ª 43001 TARRAGONA",977212303,josepvidal@memorialpau.org,,Eixample,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.1181399,1.2465599,4314820002,AJUNTAMENT DE TARRAGONA
476.0,ASS. PER A LA COOPERACIÓ TABANA,ORIOL GRAU ELIAS,"C/ AVINGUDA CATALUNYA 22, 3R-2ª  43002 TARRAGONA",977243367,ctabana@gmail.com,,Centre,Sí,Cooperació / interacció,Cooperació i Drets Humans,41.1201621,1.2523127,4314820002,AJUNTAMENT DE TARRAGONA
477.0,CREU ROJA A TARRAGONA - COMITÈ LOCAL,Ramon Grau Budesca,"Ctra. de Valls, núm. 7 43007 Tarragona",977244769 - 977250244,tarragona@creuroja.org,,Eixample,No,Cooperació / interacció,Cooperació i Drets Humans,41.133351185701,1.2395807656067,4314820002,AJUNTAMENT DE TARRAGONA
482.0,Fundació per la Pau (FundiPau),Sergi Serrano Lera,"Camí de la Cuixa, 20-22   43007 Tarragona",,info@fundipau.org,,Llevant,No,Cooperació / interacció,Cooperació i Drets Humans,41.1193261,1.2630332,4314820002,AJUNTAMENT DE TARRAGONA
