"Num_Registre","Nom","Responsable","Adreca","Telefon","Email","Barri","Districte_Govern","Desactualitzat","Seccio","Grup","ubicacio_location_lat","ubicacio_location_lng","CODI_ENS","NOM_ENS"
"1","AV. Sant Pere i Sant Pau","Luis Trinidad Durán","Torre Sant Pau, 1, baixos - Urb. Sant Pere i Sant Pau - 43007 Tarragona","633779423","avvsantpereisantpau@hotmail.com","SANT PERE I SANT PAU","Nord","No","Comunitàries / Cíviques","Associacions de Veïns","41.1398048","1.2539561","4314820002","AJUNTAMENT DE TARRAGONA"
"2","Centro Asturiano de Tarragona","Pablo Arias Pérez","Rambla Nova, núm. 7, baixos 43004 Tarragona","977229855","arias@gestiobra.es",,"Centre","Sí","Comunitàries / Cíviques","Centres i Cases Regionals","41.1143811","1.2560445","4314820002","AJUNTAMENT DE TARRAGONA"
"3","ASOCIACIÓN DEPORTIVA TORREFORTA","Roberto Hernández Raya","CASAL ESPORTIU MUNICIPAL DE RIU CLAR S/N 43006 TARRAGONA","977547270","secretaria@adtorreforta.com","RIU CLAR","Ponent","Sí","Esportives","Entitats esportives","41.1199148","1.2213306","4314820002","AJUNTAMENT DE TARRAGONA"
"4","ASS. DE GENT GRAN DE L'ESPAICAIXA SANT MAGÍ (obra social de 'La Caixa')","Francesc Sancho Vives","AVDA.CATALUNYA, 11 43002 TARRAGONA","977225952 ? 977222861","stmagi@tinet.cat",,"Eixample","No","Comunitàries / Cíviques","Gent Gran i Jubilats","41.119838","1.2531229","4314820002","AJUNTAMENT DE TARRAGONA"
"5","Associació de Pensionistes i Jubilats de Bonavista","Francisco Soria Arjona","C/ Vint, núm. 27 Bonavista 43100 Tarragona","977552172-977549620","franciscosoriaarjona@hotmail.com","BONAVISTA","Ponent","No","Comunitàries / Cíviques","Gent Gran i Jubilats","41.1181012","1.194161","4314820002","AJUNTAMENT DE TARRAGONA"
"6","COL·LECTIU DE DONES DEL BARRI DE SANT SALVADOR"," ","AVDA. DELS PINS, S/N 43130 TARRAGONA","977521166",,"PART ALTA","Nord","No","Comunitàries / Cíviques","Dones","41.1639943","1.2464053","4314820002","AJUNTAMENT DE TARRAGONA"
"7","Casa de Andalucía de Tarragona i Província","Mª Rosario García Caballero","CR C/ Gomera, num. 2, baixos -Urb. La Granja- 43006 Tarragona","977548891 - 690693079","casa.andaluciatgn@gmail.com","GRANJA (LA)","Ponent","No","Comunitàries / Cíviques","Centres i Cases Regionals","41.1226869","1.2145754","4314820002","AJUNTAMENT DE TARRAGONA"
"9","AERO CLUB PLA DE VENT","Joan Pérez","C/ DR. ZAMENHOF,6, BAIXOS 43001 TARRAGONA","977218326","joanf5j@gmail.com",,"Centre","Sí","Esportives","Entitats esportives","41.1127692","1.2470805","4314820002","AJUNTAMENT DE TARRAGONA"
"10","AMPA Sant Rafael","Luis Francisco Estrella Iborra","Ctra. de Valls, núm. 45  43007 Tarragona","977211758","santrafael.ampa@gmail.com","SANT PERE I SANT PAU","Nord","No","Estudis, Formació i Recerca","Associacions de Mares i Pares","41.1321229","1.2398168","4314820002","AJUNTAMENT DE TARRAGONA"
"11","Club Natació Tàrraco","Alejandro Jerez Rodríguez","Passeig Torroja, núm. 86 43007 Tarragona","977232084 - 977211380","gerencia@cntarraco.cat","CENTRE TARRAGONA","Llevant","No","Esportives","Clubs Esportius","41.1191714","1.2614218","4314820002","AJUNTAMENT DE TARRAGONA"
