Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
249.0,SOCIETAT PROTECTORA D'ANIMALS I PLANTES DE TARRAGONA,Mª ROSA MONTSERRAT PRATS,CR DEL SOFRE 43006 TARRAGONA,653073713,laprotectora@gmail.com,,Ponent,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1389727,1.2231355,4314820002,AJUNTAMENT DE TARRAGONA
347.0,GRUP D'ESTUDI I PROTECCIÓ D'ECOSISTEMES DEL CAMP - GEPEC,ISABEL PILAR CARRERAS ROIG,"AV DE PRAT DE LA RIBA, 18 - 2N (REUS) 43201 TARRAGONA",977331142 - 675384707,gepec@gepec.cat,,,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1574023,1.1043737,4314820002,AJUNTAMENT DE TARRAGONA
402.0,MEDITERRANIA - CENTRE INICIATIVES ECOLOGIQUES // FUNDACIÓ MARE TERRA,ANGEL JUAREZ ALMENDROS,"CR FRANCOLÍ,56-58. TORREFORTA 43006 TARRAGONA",977551300,direccion@mare-terra.org,TORREFORTA,Ponent,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1192939,1.2198175,4314820002,AJUNTAMENT DE TARRAGONA
643.0,"ANIMALIA, SUPORT ALS ANIMALS DE COMPANYIA DE TARRAGONA",ALEXIA FALCÓ SANTAMARIA,C/PONS D'ICART. HOTEL D'ENTITATS 43004 TARRAGONA,670264086,tercania@tanamigos.es,,,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1188827,1.2444909,4314820002,AJUNTAMENT DE TARRAGONA
801.0,ASSOCIACIÓ MEDIAMBIENTAL LA SÍNIA,Raquel Córdoba Jordán,Camí d'Altafulla a la Nou (Centre entitats Parc Comunidó),655486116 - 626385117,aigua@riugaia.cat,TAMARIT,,No,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1408587,1.3776889,4314820002,AJUNTAMENT DE TARRAGONA
871.0,NAMASTÉ AVENTURA,JOAN CARLES CASTELLVÍ GONZÁLEZ,"CR DE LLORENÇ DE VILALONGA, 28 - ESC. F - 3r - 2a 43007 TARRAGONA",669799369,joanca63@gmail.com,SANT PERE I SANT PAU,Llevant,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1231262,1.2747855,4314820002,AJUNTAMENT DE TARRAGONA
887.0,"MARE TERRA FUNDACIÓ MEDITERRÀNIA, Fundació Privada",ANGEL JUAREZ ALMENDROS,"CR. FRANCOLÍ, 56-58 43006 TARRAGONA",977551300,secretaria@mare-terra.org,,Ponent,No,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1236157,1.2217459,4314820002,AJUNTAMENT DE TARRAGONA
910.0,ASSOCIACIÓ ECOSALUT,MARIANA LAZ,"Cr. Osori, 8, 4t-3a 43004 TARRAGONA",680448477-938391735,ecosalut.tgn@gmail.com,,Centre,Sí,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1051057,1.2463911,4314820002,AJUNTAMENT DE TARRAGONA
934.0,ASSOCIACIÓ TARRACO GATS,EVA MARIA NUÑEZ ROMERO,"Cr/ MEDIONA, 24, 2n 2 43003 TARRAGONA",647503519,info@tarracogats.org,PART ALTA,Centre,No,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1183451,1.2562152,4314820002,AJUNTAMENT DE TARRAGONA
940.0,ASSOCIACIÓ GRUP ACOLLIDES I ADOPCIONS D'ANIMALS TARRAGONA,MERITXELL SALOMÓ TUSET,"Cr. Lluis Millet, 30 43007 TARRAGONA",659541817-678094239,gaiatgn@gmail.com,CAMPCLAR,Llevant,No,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1388035,1.3016792,4314820002,AJUNTAMENT DE TARRAGONA
948.0,ASSOCIACIÓ APIS URBIS,DANIEL ARRÉBOLA PÁEZ,"Cr. Terra Ferma, 26, Porta 2 (CALA ROMANA) 43007 TARRAGONA",629933690,daniel@elpastordabelles.com,CALA ROMANA,Llevant,No,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.130428,1.2911745,4314820002,AJUNTAMENT DE TARRAGONA
949.0,ASSOCIACIÓ LA CASETA DELS GATS,ANTONIA MUÑOZ CORTADO,"Av. Maria Cristina, 36, Esc. A, 2n-1a 43007 TARRAGONA",698371459,lacasetadelsgats@gmail.com,CENTRE TARRAGONA,Centre,No,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1192048,1.2530352,4314820002,AJUNTAMENT DE TARRAGONA
955.0,ASSOCIACIÓ TERRAVITAE,JOAN CARLES LÓPEZ SANCHO,"Cr. Unió, 36, 3r - 1a 43001 TARRAGONA",626679762,associacio.terravitae@gmail.com,CENTRE TARRAGONA,Centre,No,"Medi Ambient, Ecologia i Sostenibilitat",Educació Ambiental i defensa del Medi,41.1141278,1.2514585,4314820002,AJUNTAMENT DE TARRAGONA
987.0,ASSOCIACIÓ GATVARRES,GLORIA HERRERA GARCIA,"C/Trevol, 5, Urb. Rodolat del Moro 43007 TARRAGONA",607823009,gatvarres@hotmail.com,,Nord,No,"Medi Ambient, Ecologia i Sostenibilitat",Protecció Animal / Espècies en perill,41.1513164,1.2665523,4314820002,AJUNTAMENT DE TARRAGONA
