Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
1.0,AV. Sant Pere i Sant Pau,Luis Trinidad Durán,"Torre Sant Pau, 1, baixos - Urb. Sant Pere i Sant Pau - 43007 Tarragona",633779423,avvsantpereisantpau@hotmail.com,SANT PERE I SANT PAU,Nord,No,Comunitàries / Cíviques,Associacions de Veïns,41.1398048,1.2539561,4314820002,AJUNTAMENT DE TARRAGONA
2.0,Centro Asturiano de Tarragona,Pablo Arias Pérez,"Rambla Nova, núm. 7, baixos 43004 Tarragona",977229855,arias@gestiobra.es,,Centre,Sí,Comunitàries / Cíviques,Centres i Cases Regionals,41.1143811,1.2560445,4314820002,AJUNTAMENT DE TARRAGONA
3.0,ASOCIACIÓN DEPORTIVA TORREFORTA,Roberto Hernández Raya,CASAL ESPORTIU MUNICIPAL DE RIU CLAR S/N 43006 TARRAGONA,977547270,secretaria@adtorreforta.com,RIU CLAR,Ponent,Sí,Esportives,Entitats esportives,41.1199148,1.2213306,4314820002,AJUNTAMENT DE TARRAGONA
4.0,ASS. DE GENT GRAN DE L'ESPAICAIXA SANT MAGÍ (obra social de 'La Caixa'),Francesc Sancho Vives,"AVDA.CATALUNYA, 11 43002 TARRAGONA",977225952 ? 977222861,stmagi@tinet.cat,,Eixample,No,Comunitàries / Cíviques,Gent Gran i Jubilats,41.119838,1.2531229,4314820002,AJUNTAMENT DE TARRAGONA
7.0,Casa de Andalucía de Tarragona i Província,Mª Rosario García Caballero,"CR C/ Gomera, num. 2, baixos -Urb. La Granja- 43006 Tarragona",977548891 - 690693079,casa.andaluciatgn@gmail.com,GRANJA (LA),Ponent,No,Comunitàries / Cíviques,Centres i Cases Regionals,41.1226869,1.2145754,4314820002,AJUNTAMENT DE TARRAGONA
9.0,AERO CLUB PLA DE VENT,Joan Pérez,"C/ DR. ZAMENHOF,6, BAIXOS 43001 TARRAGONA",977218326,joanf5j@gmail.com,,Centre,Sí,Esportives,Entitats esportives,41.1127692,1.2470805,4314820002,AJUNTAMENT DE TARRAGONA
10.0,AMPA Sant Rafael,Luis Francisco Estrella Iborra,"Ctra. de Valls, núm. 45  43007 Tarragona",977211758,santrafael.ampa@gmail.com,SANT PERE I SANT PAU,Nord,No,"Estudis, Formació i Recerca",Associacions de Mares i Pares,41.1321229,1.2398168,4314820002,AJUNTAMENT DE TARRAGONA
11.0,Club Natació Tàrraco,Alejandro Jerez Rodríguez,"Passeig Torroja, núm. 86 43007 Tarragona",977232084 - 977211380,gerencia@cntarraco.cat,CENTRE TARRAGONA,Llevant,No,Esportives,Clubs Esportius,41.1191714,1.2614218,4314820002,AJUNTAMENT DE TARRAGONA
13.0,A.V de la Urbanización La Granja,Tomas-Santos Manso Vicente,"C/ de Gran Canaria, núm. 17, local (La Granja)   43006 Tarragona",977545391-602435388,lagranja@tinet.org,GRANJA (LA),Ponent,No,Comunitàries / Cíviques,Associacions de Veïns,41.1216062,1.2143774,4314820002,AJUNTAMENT DE TARRAGONA
14.0,ASSOCIACIÓ PROVINCIAL DE PARALISI CEREBRAL - LA MUNTANYETA,Rosa Maria Rizo Solanes,"Muntanya de Sant Pere, s/n 43007 TARRAGONA",977217604,appc@appctarragona.org,MONT SANT PERE SACELADES,Eixample,No,Assistencials,Serveis Sanitaris,41.1379271,1.293919,4314820002,AJUNTAMENT DE TARRAGONA
15.0,AMPA Escola Sant Pere i Sant Pau,Judith Boquera Abadia,"Rbla. Sant Pere i Sant Pau, 1  43007 Tarragona",977204777,ampaescolaspisp@gmail.com,SANT PERE I SANT PAU,Nord,Sí,"Estudis, Formació i Recerca",Associacions de Mares i Pares,41.1378772,1.2531367,4314820002,AJUNTAMENT DE TARRAGONA
17.0,ASSOCIACIÓ JOVENTUTS MUSICALS DE TARRAGONA,Josep Maria Rota Aleu,"C/ Fortuny, 23 (Cooperativa Obrera)  43003 TARRAGONA",,joventutsmusicalsdetarragona@tinet.cat,CENTRE TARRAGONA,Centre,No,Culturals,Bandes i orquestes,41.1146349,1.250495,4314820002,AJUNTAMENT DE TARRAGONA
18.0,Colla Jove dels Xiquets de Tarragona,Yasmina Armesto Ferrando,"C/ del Cós del Bou, 23  43003 Tarragona",639240248,cjxt@jovedetarragona.cat,PART ALTA,Centre,No,Culturals,Colles castelleres i grups de grallers,41.1163781,1.256666,4314820002,AJUNTAMENT DE TARRAGONA
21.0,Fundació Casal l'Amic,Domènec Domènech Roig,"CR Del Riu Llobregat, Bloc 4, Esc. 10, 1er. 2a.  -Camp Clar- 43006 Tarragona",932682222 - 977552834,sinergia@sinergia.org,,Ponent,No,Cooperació / interacció,D'integració i cohesió,41.1169933,1.2083872,4314820002,AJUNTAMENT DE TARRAGONA
22.0,Esbart Dansaire de Tarragona,Maria Teresa Aguilar Vallespí,"Pl del General Prim, núm. 6, baixos 43001 Tarragona",633138513,esbartdt@tinet.cat,,Centre,No,Culturals,"Dansa, esbarts i colles sardanistes",41.1132901,1.2506539,4314820002,AJUNTAMENT DE TARRAGONA
23.0,ASTAFANIAS,Xavier de Manuel,"CR DE LES COQUES,1-C 2N 43003 TARRAGONA",977235835 - 616393738,astafanias@tinet.org,PART ALTA,Centre,Sí,Socials,Suport a discapacitats,41.1185428,1.258456,4314820002,AJUNTAMENT DE TARRAGONA
