Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
3.0,ASOCIACIÓN DEPORTIVA TORREFORTA,Roberto Hernández Raya,CASAL ESPORTIU MUNICIPAL DE RIU CLAR S/N 43006 TARRAGONA,977547270,secretaria@adtorreforta.com,RIU CLAR,Ponent,Sí,Esportives,Entitats esportives,41.1199148,1.2213306,4314820002,AJUNTAMENT DE TARRAGONA
7.0,Casa de Andalucía de Tarragona i Província,Mª Rosario García Caballero,"CR C/ Gomera, num. 2, baixos -Urb. La Granja- 43006 Tarragona",977548891 - 690693079,casa.andaluciatgn@gmail.com,GRANJA (LA),Ponent,No,Comunitàries / Cíviques,Centres i Cases Regionals,41.1226869,1.2145754,4314820002,AJUNTAMENT DE TARRAGONA
13.0,A.V de la Urbanización La Granja,Tomas-Santos Manso Vicente,"C/ de Gran Canaria, núm. 17, local (La Granja)   43006 Tarragona",977545391-602435388,lagranja@tinet.org,GRANJA (LA),Ponent,No,Comunitàries / Cíviques,Associacions de Veïns,41.1216062,1.2143774,4314820002,AJUNTAMENT DE TARRAGONA
21.0,Fundació Casal l'Amic,Domènec Domènech Roig,"CR Del Riu Llobregat, Bloc 4, Esc. 10, 1er. 2a.  -Camp Clar- 43006 Tarragona",932682222 - 977552834,sinergia@sinergia.org,,Ponent,No,Cooperació / interacció,D'integració i cohesió,41.1169933,1.2083872,4314820002,AJUNTAMENT DE TARRAGONA
35.0,AV Icomar,Josep Bernat Nebot,"Icomar, Bloc 4 baixos 43006 Tarragona",607962193,avvicomar@hotmail.com,ICOMAR,Ponent,No,Comunitàries / Cíviques,Associacions de Veïns,41.1174361,1.2254149,4314820002,AJUNTAMENT DE TARRAGONA
45.0,Associació de Pensionistes i Tercera Edat del barri de Riu Clar i Icomar,Francisco Gil Ramos,"Vial Riu Clar - Icomar, s/n  43006 Tarragona",977530618,llarjubilatriuclar@gmail.com,,Ponent,No,Comunitàries / Cíviques,Gent Gran i Jubilats,41.117242282313,1.2261528304413,4314820002,AJUNTAMENT DE TARRAGONA
66.0,Centro Social Extremeño,Ángel Martín González,"C/ D'Horta Gran, núm. 6 - Urb. Icomar-  43006 Tarragona",977543854 - 639022672,cse.tarragona@gmail.com,ICOMAR,Ponent,No,Comunitàries / Cíviques,Centres i Cases Regionals,41.1171421,1.2261054,4314820002,AJUNTAMENT DE TARRAGONA
67.0,AV Verge del Pilar-Eixample,Montserrat Muñoz López,"Barri del Pilar, Bloc 8 baixos 1 43006 Tarragona",639707558 - 609238252,associaciopilareixample@gmail.com,VERGE DEL PILAR,Ponent,No,Comunitàries / Cíviques,Associacions de Veïns,41.1164685,1.2118137,4314820002,AJUNTAMENT DE TARRAGONA
84.0,ASS. PENSIONISTES I JUBILATS DE LA GRANJA,Cristobal Castro Espadas,"C/ GAIÀ 21-23, 43006 LA GRANJA, TARRAGONA",977 54 74 68,jubiladoslagranja@gmail.com,GRANJA (LA),Ponent,No,Comunitàries / Cíviques,Gent Gran i Jubilats,41.1210655,1.2165883,4314820002,AJUNTAMENT DE TARRAGONA
96.0,Associació Cor Ciutat de Tarragona,Francisco Font Bonafonte,"C/ Sant Benilde, núm. 6, Esc. B, 1er. 43006 Tarragona",610289015 - 977330660,cor.ciutat.de.tarragona@gmail.com,PART ALTA,Centre,No,Culturals,Corals,41.1195308,1.2131768,4314820002,AJUNTAMENT DE TARRAGONA
100.0,AMPA IES Camp Clar,Mª Dolores Buendia Ruiz,"Av. Riu Segre, 66  43006 Tarragona",977541007,ampaiescampclar@gmail.com,CAMPCLAR,Ponent,Sí,"Estudis, Formació i Recerca",Associacions de Mares i Pares,41.124045800253,1.2105965342544,4314820002,AJUNTAMENT DE TARRAGONA
101.0,AV Barri Riu Clar,Javier Martí García,"PL. Progrés, núm. 10, baixos  (Urb. Riu Clar) 43003 Tarragona",657331963,avriuclar@gmail.com,RIU CLAR,Ponent,No,Comunitàries / Cíviques,Associacions de Veïns,41.119699387846,1.2239051392868,4314820002,AJUNTAMENT DE TARRAGONA
