Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
17.0,ASSOCIACIÓ JOVENTUTS MUSICALS DE TARRAGONA,Josep Maria Rota Aleu,"C/ Fortuny, 23 (Cooperativa Obrera)  43003 TARRAGONA",,joventutsmusicalsdetarragona@tinet.cat,CENTRE TARRAGONA,Centre,No,Culturals,Bandes i orquestes,41.1146349,1.250495,4314820002,AJUNTAMENT DE TARRAGONA
18.0,Colla Jove dels Xiquets de Tarragona,Yasmina Armesto Ferrando,"C/ del Cós del Bou, 23  43003 Tarragona",639240248,cjxt@jovedetarragona.cat,PART ALTA,Centre,No,Culturals,Colles castelleres i grups de grallers,41.1163781,1.256666,4314820002,AJUNTAMENT DE TARRAGONA
22.0,Esbart Dansaire de Tarragona,Maria Teresa Aguilar Vallespí,"Pl del General Prim, núm. 6, baixos 43001 Tarragona",633138513,esbartdt@tinet.cat,,Centre,No,Culturals,"Dansa, esbarts i colles sardanistes",41.1132901,1.2506539,4314820002,AJUNTAMENT DE TARRAGONA
27.0,Esbart Santa Tecla,Rosa Llorach Rius,"CR d'En Soler, núm.  18, Baixos 43005 Tarragona",977230663,estecla@estecla.cat,,Centre,No,Culturals,"Dansa, esbarts i colles sardanistes",41.1139776,1.248733,4314820002,AJUNTAMENT DE TARRAGONA
32.0,GRUP DE DANSA I COMPARSA DISC 45,DANI  MAYANDÍA GALLEGO,AV DELS PINS 43130 TARRAGONA,626011480,info@disc45.com,SANT SALVADOR,Nord,Sí,Culturals,"Balls (regionals, populars i moderns)",41.131728,1.3635924,4314820002,AJUNTAMENT DE TARRAGONA
41.0,Casal Tarragoní,Jordi Grau i Cabeza,"C/ Fortuny, núm. 23, 1-7  43001 Tarragona",610881597 - 606693293,casaltarragoni@tinet.org,,Centre,No,Culturals,Altres entitats culturals,41.1146349,1.250495,4314820002,AJUNTAMENT DE TARRAGONA
50.0,Agrupació Coral Serrallo,Irene Bosch Braña,"C/ Salou, baixos B -El Serrallo- 43005 Tarragona",625956259 - 977221907,ibosoch@grafiquesicb.com,SERRALLO,Centre,No,Culturals,Corals,41.1097405,1.2391739,4314820002,AJUNTAMENT DE TARRAGONA
58.0,ASSOCIACIÓ CULTURAL I RECREATIVA SANT PERE I SANT PAU,Eduard García Castells,"Edif. Perú,  baixos, local 2 (emissora de radio) 43007 Tarragona",977201500 - 977202647,direccio@radiospsp.com,SANT PERE I SANT PAU,Nord,No,Culturals,Altres entitats culturals,41.139463,1.2508733,4314820002,AJUNTAMENT DE TARRAGONA
62.0,Ball de Diables de Tarragona,Enric Garriga Martí,"C/ Roger de Llúria, 14, baixos  43004 Tarragona",625711796 ? 655843819,info@diablesdetarragona.cat,CENTRE TARRAGONA,Centre,No,Culturals,Seguici popular i tradicions locals,41.1136295,1.2546748,4314820002,AJUNTAMENT DE TARRAGONA
74.0,ASSOCIACIÓ D'AMICS DE LA COLLA JOVE,FRANCESC MÍNGUEZ REVENTÓS,"CR DEL COS DEL BOU, 23 43003 TARRAGONA",669270979,associacio@jovedetarragona.cat,PART ALTA,Centre,No,Culturals,Colles castelleres i grups de grallers,41.1163781,1.256666,4314820002,AJUNTAMENT DE TARRAGONA
93.0,Associació Drac de Sant Roc de Tarragona,Martí Caparrós Solé,"C/ Cos del Bou, 23, baixos  43003 Tarragona",628925820,santrocdrac@gmail.com,PART ALTA,Centre,No,Culturals,Seguici popular i tradicions locals,41.1163781,1.256666,4314820002,AJUNTAMENT DE TARRAGONA
96.0,Associació Cor Ciutat de Tarragona,Francisco Font Bonafonte,"C/ Sant Benilde, núm. 6, Esc. B, 1er. 43006 Tarragona",610289015 - 977330660,cor.ciutat.de.tarragona@gmail.com,PART ALTA,Centre,No,Culturals,Corals,41.1195308,1.2131768,4314820002,AJUNTAMENT DE TARRAGONA
108.0,Colla Castellers Xiquets de Tarragona,Robert Renard Zafón,"Plaça de la Font, 1 (Ajuntament de Tarragona-Pati del Pou)43003 Tarragona",678519591,info@xiquetsdetarragona.cat,PART ALTA,Centre,No,Culturals,Colles castelleres i grups de grallers,41.1174676,1.2542181,4314820002,AJUNTAMENT DE TARRAGONA
122.0,COOPERATIVA OBRERA TARRACONENSE,DIONISIO DE LA VARGA HERNÁNDEZ,"CR DE FORTUNY, 23 43001 TARRAGONA",977211148,cot@cotarraconense.cat,CENTRE TARRAGONA,Centre,Sí,Culturals,Altres entitats culturals,41.1146349,1.250495,4314820002,AJUNTAMENT DE TARRAGONA
130.0,AGRUPACIÓ FOTOGRÀFICA DE TARRAGONA,ANDREU GUAL ROCA,"Cr. GOBERNADOR GONZÁLEZ 7, ENTRESÒL 1ª 43001 TARRAGONA",685821200,aft@aftgn.com,CENTRE TARRAGONA,Centre,No,Culturals,Altres entitats culturals,41.1150843,1.2516199,4314820002,AJUNTAMENT DE TARRAGONA
140.0,AGRUPACIÓ SARDANISTA TARRAGONA DANSA,Alfred Abad Gascón,"Avda. Catalunya, 25,ESC. A, 5È 1A 43002 Tarragona",977215935-609607481,astgn@tinet.org,,Eixample,No,Culturals,"Dansa, esbarts i colles sardanistes",41.1208403,1.2518788,4314820002,AJUNTAMENT DE TARRAGONA
158.0,CORAL AUGUSTA,JOSE MARTINEZ TURON,"PL.CASTELLERS,2 (ESGL.ST.FRUCTUÓS)APART.C.1185 43080 TARRAGONA",977239178,josepalopa@hotmail.com,,Eixample,Sí,Culturals,Corals,41.1209978,1.252508,4314820002,AJUNTAMENT DE TARRAGONA
161.0,COR AL·LELUIA,MARTA ARJONA CIURANA,"AV COLLBLANC, 11 - 3R- A (LA CANONJA) A.C. 417 43110 TARRAGONA",678369221,aleluia@tinet.cat,,,Sí,Culturals,Corals,41.1211903,1.1861833,4314820002,AJUNTAMENT DE TARRAGONA
194.0,Associació Cultural del Gremi de Pagesos de Sant Llorenç i Sant Isidre,Raül Font-Quer Plana,"C/ de l'Arc de Sant Llorenç, núm. 7 43003 Tarragona",977242967,administracio@gremidepagesos.cat,PART ALTA,Centre,No,Culturals,Altres entitats culturals,41.1193605,1.2594104,4314820002,AJUNTAMENT DE TARRAGONA
207.0,Colla Castellera Xiquets del Serrallo,Josep Ramon Tules Armela,"Moll de Costa, núm. 1,  43004 TARRAGONA",678096453,info@xiquetsdelserrallo.cat,SERRALLO,Centre,No,Culturals,Colles castelleres i grups de grallers,41.1101956,1.2440893,4314820002,AJUNTAMENT DE TARRAGONA
208.0,Agrupació Ball d'en Serrallonga de Tarragona,Ricard Fernández Pascual,"Via Augusta, núm. 4  43003 Tarragona",669951568,balldenserrallonga@gmail.com,MIRACLE (EL),Llevant,No,Culturals,Seguici popular i tradicions locals,41.1159564,1.2587149,4314820002,AJUNTAMENT DE TARRAGONA
