Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
25.0,GREMI PROVINCIAL ARTESÀ DE PERRUQUERIA I BELLESA DE TARRAGONA,CRISTÓBAL REPULLO SANTIAGO,"RAMBLA NOVA, 121, 1-4 43001 TARRAGONA",977220207,gptarragona@terra.es,CENTRE TARRAGONA,Eixample,Sí,"Econòmiques, Ocupacionals i Sindicals",Gremis,41.1185714,1.2470808,4314820002,AJUNTAMENT DE TARRAGONA
26.0,ASSOCIACIÓ PROVINCIAL DE MESTRESSES DE CASA CONSUM.I USUARIS DE TGNA,JOSEFA PEGUEROLES,"C/ COMTE DE RIUS,5, PRAL. 43003 TARRAGONA",977240261,asmecasa@tinet.org,,Centre,Sí,"Econòmiques, Ocupacionals i Sindicals",D'usuaris i consumidors,41.116547,1.2539453,4314820002,AJUNTAMENT DE TARRAGONA
40.0,"Col·legi d'Aparelladors, Arquitectes Tècnics i Enginyers d'Edificació de Tgna",Adolf Quetcuti i Carceller,"Rbla. Francesc Macià, núm. 6  43005 Tarragona",977212799,secretaria@apatgn.org,,Eixample,No,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1218008,1.2389787,4314820002,AJUNTAMENT DE TARRAGONA
42.0,"Col·legi d'Enginyers de Camins, Canals i Ports",Ramon Gras i Vidal,"Rambla Nova, 104, 1r  43001 Tarragona",977222850,tarragona@ciccp.es,,Eixample,Sí,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1172243,1.2484866,4314820002,AJUNTAMENT DE TARRAGONA
43.0,Col·legi Oficial de Doctors i Llicenciats,Carme Tomàs Martorell,"C/ Misser Sitges, 10, 1r 3a  43003 Tarragona",977239523,delegaciotarragona@cdlcat.es,PART ALTA,Centre,Sí,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1183249,1.256802,4314820002,AJUNTAMENT DE TARRAGONA
51.0,COL·LEGI OFICIAL D'ENGINYERS INDUSTRIALS DE CATALUNYA (DEM.TGNA),LLUIS MAESTRE OLIVA,CR MARE DE DEU DEL CLAUSTRE 43003 TARRAGONA,977238012,tarraco@eic.es,PART ALTA,Centre,Sí,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1193587,1.2572998,4314820002,AJUNTAMENT DE TARRAGONA
53.0,Jove Cambra Internacional de Tarragona,Raül Gil Alonso,"CR DE PONS D'ICART, LA PEDRERA S/N, despatx 12 43004 TARRAGONA",635465857,info@jcitarragona.org,CENTRE TARRAGONA,,No,"Econòmiques, Ocupacionals i Sindicals",Empresarials,41.1134702,1.2531168,4314820002,AJUNTAMENT DE TARRAGONA
73.0,Associació Empresarial Qúimica de Tarragona (AEQT),Rubén Folgado Girón,"Avda. Marques de Montoliu, núm. 2, Entresol 43002 Tarragona",977252308,admon@aeqtonline.com,,Eixample,No,"Econòmiques, Ocupacionals i Sindicals",Empresarials,41.1194769,1.2454859,4314820002,AJUNTAMENT DE TARRAGONA
75.0,"Gremi d'Industrials Instal.ladors Electricistes, Fontaners i afins de la comarca del Tarragonès",Josep Miró Soldrà,"RAMBLA NOVA, 16,4-1 43004 TARRAGONA",977249848,info@gremitarragona.com,,Centre,No,"Econòmiques, Ocupacionals i Sindicals",Gremis,41.1139162,1.2553924,4314820002,AJUNTAMENT DE TARRAGONA
77.0,Associació Enginyers Tecnics Industrials,Anton Escarré Paris,"Avda. Roma, núm. 7, entresol 43005 Tarragona",977251877,cetit@cetit.org,,Eixample,No,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1186008,1.241535,4314820002,AJUNTAMENT DE TARRAGONA
