Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
23.0,ASTAFANIAS,Xavier de Manuel,"CR DE LES COQUES,1-C 2N 43003 TARRAGONA",977235835 - 616393738,astafanias@tinet.org,PART ALTA,Centre,Sí,Socials,Suport a discapacitats,41.1185428,1.258456,4314820002,AJUNTAMENT DE TARRAGONA
28.0,FRATERNITAT CRISTIANA DE MALALTS I MINUSVÀLIDS,Victoria Eugenia Cruz Sánchez,"RAMBLA NOVA, 105 43001 TARRAGONA",676731107,vecs44@hotmail.com,,Centre,Sí,Socials,Suport a discapacitats,41.1177233,1.2488151,4314820002,AJUNTAMENT DE TARRAGONA
111.0,Caritas Diocesana de Tarragona,Salvador Grané Terradas,"CR Armanyà, núm. 16 43004 Tarragona",877449866,caritas@caritasdtarragona.cat,CENTRE TARRAGONA,Centre,No,Socials,Pobresa i risc d'exclusió,41.1140554,1.2534379,4314820002,AJUNTAMENT DE TARRAGONA
173.0,ASSOCIACIÓ AMICS DE L'HOSPITAL SANT PAU I SANTA TECLA,Fèlix Adseries Escarrè,"RAMBLA VELLA, 14 43003 TARRAGONA",977259928,amics@xarxatecla.cat,CENTRE TARRAGONA,Centre,Sí,Socials,Altres entitats d'ajuda,41.1163005,1.2549226,4314820002,AJUNTAMENT DE TARRAGONA
238.0,CERADAI CATALUNYA,Josep Mª. Ferran Torrent,"CR DE PERE MARTELL, 27 -4t. 1a 43005 TARRAGONA",977223268,info@cooppel.org,,Eixample,Sí,Socials,Altres entitats d'ajuda,41.1158083,1.2439431,4314820002,AJUNTAMENT DE TARRAGONA
352.0,"Associació Aurora - Salut Mental, Territori i Paisatge",Juan Escarré Novell,Avda. del Pins s/n (Urb. Sant Salvador)  43130 Tarragona,977520205 - 626557040,administracio@associacioaurora.org,SANT SALVADOR,Nord,No,Socials,Suport a discapacitats,41.1639943,1.2464053,4314820002,AJUNTAMENT DE TARRAGONA
381.0,ASS. EDUCATIVA 'EL TRAMPOLÍ',Luís  García Alonso,"C/ ALFRED OPISSO,5 43002 TARRAGONA",977226555 - 977551185,trampoli@infonegocio.com,,Eixample,Sí,Socials,Altres entitats d'ajuda,41.1203001,1.2537552,4314820002,AJUNTAMENT DE TARRAGONA
391.0,ASSOCIACIÓ PROMOCIÓ OCUPACIONAL I SOCIAL (APTOS),,"ED. LA MUSSARA, ESC.A,1-1 43007 TARRAGONA",977245405 - 977 540 780,aptos.si@tinet.org,SANT PERE I SANT PAU,Nord,Sí,Socials,Altres entitats d'ajuda,41.1375043,1.2488699,4314820002,AJUNTAMENT DE TARRAGONA
395.0,ASS. L'HEURA TARRAGONA - PROJECTES D'INSERCIÓ SOCIAL OC.,Montserrat Griso Gines,"C/SANT AGUSTI,13, 4RT. 43003 TARRAGONA",977243212,lheura@terra.es,,,Sí,Socials,Altres entitats d'ajuda,41.1156675,1.2548333,4314820002,AJUNTAMENT DE TARRAGONA
443.0,Associació Reto a la Esperanza,Francisco  Javier Sierra Ceballos,"C/ Ramon i Cajal, núm. 58 43001 Tarragona",977603430 - 629528731,tarragona@asociacionreto.org,,Ponent,No,Socials,Altres entitats d'ajuda,41.1158697,1.2434505,4314820002,AJUNTAMENT DE TARRAGONA
